# agrifoodca_sssom.tsv — FR translations for picklist entries not covered by schema.yaml
#
# subject_id patterns:
#   agrifoodca:{picklist_key}:name            — enum name translation
#   agrifoodca:{picklist_key}:description     — enum description translation
#   agrifoodca:{picklist_key}:keywords:{kw}   — keyword translation (kw = EN keyword)
#   agrifoodca:{picklist_key}:choice:{Code}   — permissible-value title translation
#
# object_label carries the translation with a BCP-47 language tag, e.g. "Femme"@fr
curie_map:
  agrifoodca: https://github.com/agrifooddatacanada/picklists_for_schemas/blob/main/picklists/
  skos: http://www.w3.org/2004/02/skos/core#
mapping_set_id: agrifoodca:agrifoodca_sssom
mapping_set_description: French translations for AgriFoodCA picklist entries
---
subject_id	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
agrifoodca:AgreementScale:name	skos:exactMatch		"Échelle d’accord"@fr				
agrifoodca:AgreementScale:description	skos:exactMatch		"Échelle de réponses standard allant de tout à fait d’accord à tout à fait en désaccord."@fr				
agrifoodca:AgreementScale:keywords:agreement	skos:exactMatch		"accord"@fr				
agrifoodca:AgreementScale:keywords:likert scale	skos:exactMatch		"échelle de Likert"@fr				
agrifoodca:AgreementScale:keywords:survey responses	skos:exactMatch		"réponses de sondage"@fr				
agrifoodca:CanadianProvinces:name	skos:exactMatch		"Provinces canadiennes"@fr				
agrifoodca:CanadianProvinces:description	skos:exactMatch		"Liste des provinces canadiennes et leurs codes"@fr				
agrifoodca:CanadianProvinces:keywords:canada	skos:exactMatch		"Canada"@fr				
agrifoodca:CanadianProvinces:keywords:province	skos:exactMatch		"province"@fr				
agrifoodca:CanadianProvinces:keywords:geography	skos:exactMatch		"géographie"@fr				
agrifoodca:CanadianProvinces:choice:AB	skos:exactMatch		"L'Alberta"@fr				
agrifoodca:CanadianProvinces:choice:BC	skos:exactMatch		"La Colombie-Britannique"@fr				
agrifoodca:CanadianProvinces:choice:MB	skos:exactMatch		"Le Manitoba"@fr				
agrifoodca:CanadianProvinces:choice:NB	skos:exactMatch		"Le Nouveau-Brunswick"@fr				
agrifoodca:CanadianProvinces:choice:NL	skos:exactMatch		"La Terre-Neuve-et-Labrador"@fr				
agrifoodca:CanadianProvinces:choice:NS	skos:exactMatch		"La Nouvelle-Écosse"@fr				
agrifoodca:CanadianProvinces:choice:NT	skos:exactMatch		"Les Territoires du Nord-Ouest"@fr				
agrifoodca:CanadianProvinces:choice:NU	skos:exactMatch		"Le Nunavut"@fr				
agrifoodca:CanadianProvinces:choice:ON	skos:exactMatch		"L'Ontario"@fr				
agrifoodca:CanadianProvinces:choice:QC	skos:exactMatch		"Le Québec"@fr				
agrifoodca:CanadianProvinces:choice:SK	skos:exactMatch		"La Saskatchewan"@fr				
agrifoodca:CanadianProvinces:choice:YT	skos:exactMatch		"Le Yukon"@fr				
agrifoodca:ComfortLevelScale:name	skos:exactMatch		"Échelle de niveau de confort"@fr				
agrifoodca:ComfortLevelScale:description	skos:exactMatch		"Niveau de confort ou d’inconfort exprimé par rapport à un sujet une option ou une comparaison."@fr				
agrifoodca:ComfortLevelScale:keywords:comfort level	skos:exactMatch		"niveau de confort"@fr				
agrifoodca:ComfortLevelScale:keywords:attitudes	skos:exactMatch		"attitudes"@fr				
agrifoodca:ComfortLevelScale:keywords:perceptions	skos:exactMatch		"perceptions"@fr				
agrifoodca:ComfortLevelScale:keywords:survey responses	skos:exactMatch		"réponses de sondage"@fr				
agrifoodca:AwarenessOfConcept:name	skos:exactMatch		"Sensibilisation à un concept"@fr				
agrifoodca:AwarenessOfConcept:description	skos:exactMatch		"Indique si la personne répondante a déjà entendu parler ou est consciente d’un concept d’un sujet ou d’un thème."@fr				
agrifoodca:AwarenessOfConcept:keywords:awareness	skos:exactMatch		"sensibilisation"@fr				
agrifoodca:AwarenessOfConcept:keywords:familiarity	skos:exactMatch		"familiarité"@fr				
